诊断方面,子任务,类别,类别中文名,样本数,占比,评价
rhythm_rate,rhythm,Sinus,,25328,84.43%,主导
rhythm_rate,rhythm,AFib,,2464,8.21%,一般
rhythm_rate,rhythm,Other_Arrhythmia,,2208,7.36%,一般
rhythm_rate,rate_level,Normal(60-100bpm),,21778,72.59%,平衡
rhythm_rate,rate_level,Slow(<60bpm),,4181,13.94%,平衡
rhythm_rate,rate_level,Fast(>100bpm),,4041,13.47%,平衡
conduction_axis,axis,Normal,,24218,80.73%,一般
conduction_axis,axis,Left,,4403,14.68%,一般
conduction_axis,axis,Extreme,,859,2.86%,一般
conduction_axis,axis,Right,,520,1.73%,一般
voltage_hypertrophy,lvh,False,阴性,27210,90.70%,一般
voltage_hypertrophy,lvh,True,阳性,2790,9.30%,一般
voltage_hypertrophy,rvh,False,阴性,29742,99.14%,一般
voltage_hypertrophy,rvh,True,阳性,258,0.86%,极稀疏
ischemia_infarct,st_elevation_territory,anterior_septal,,654,2.18%,一般
ischemia_infarct,st_elevation_territory,inferior,,219,0.73%,稀疏
ischemia_infarct,st_elevation_territory,lateral,,130,0.43%,稀疏
ischemia_infarct,st_elevation_territory,multiple,,127,0.42%,稀疏
ischemia_infarct,st_elevation_territory,septal,,56,0.19%,稀疏
ischemia_infarct,st_depression_territory,lateral,,1372,4.57%,一般
ischemia_infarct,st_depression_territory,multiple,,1127,3.76%,一般
ischemia_infarct,st_depression_territory,anterior_septal,,901,3.00%,一般
ischemia_infarct,st_depression_territory,inferior,,142,0.47%,稀疏
ischemia_infarct,st_depression_territory,septal,,19,0.06%,稀疏
ischemia_infarct,st_depression_territory,anterior,,4,0.01%,稀疏
ischemia_infarct,t_wave_abnormality,localized,,8693,28.98%,一般
ischemia_infarct,t_wave_abnormality,diffuse,,484,1.61%,稀疏
ischemia_infarct,q_wave_territory,inferior,,2116,7.05%,一般
ischemia_infarct,q_wave_territory,anterior_septal,,1572,5.24%,一般
ischemia_infarct,q_wave_territory,septal,,334,1.11%,稀疏
ischemia_infarct,q_wave_territory,multiple,,200,0.67%,稀疏
ischemia_infarct,q_wave_territory,lateral,,130,0.43%,稀疏
ischemia_infarct,q_wave_territory,anterior,,40,0.13%,稀疏
qt_electrolytes,qt_status,Normal,,24918,83.06%,一般
qt_electrolytes,qt_status,Prolonged,,5082,16.94%,一般
